county,year,CAUSE,sex,ageG,Ndeaths,YLL,pop,US2000POP
California,2010,A06a,Total,25 - 34,3,189.32,5338068.65750252,37233
California,2010,A06a,Total,35 - 44,8,422.56,5177189.83346018,44659
California,2010,A06a,Total,45 - 54,16,673.9,5251633.09380686,37030
California,2010,A06a,Total,5 - 14,0,0,5086518.2222786,39977
California,2010,A06a,Total,55 - 64,31,1040.39,4077244.17225021,23961
California,2010,A06a,Total,65 - 74,24,558.88,2295640.7917253,18136
California,2010,A06a,Total,75 - 84,19,279.61,1374145.00347759,12315
California,2010,A06a,Total,85 - 999,8,72.77,610302.7645322314,4259
California,2010,A06b,Male,0 - 4,0,0,1291229.64820253,18987
California,2010,A06b,Male,15 - 24,1,68.08,2904940.7817453,38077
California,2010,A06b,Male,25 - 34,3,177.4,2728380.48390666,37233
California,2010,A06b,Male,35 - 44,35,1768.73,2603043.66772075,44659
California,2010,A06b,Male,45 - 54,199,8327.97,2609657.18058244,37030
California,2010,A06b,Male,5 - 14,0,0,2599921.36979385,39977
California,2010,A06b,Male,55 - 64,370,12469.47,1969247.18607936,23961
California,2010,A06b,Male,65 - 74,93,2272.5,1063816.78529905,18136
California,2010,A06b,Male,75 - 84,39,585.34,585371.370720331,12315
California,2010,A06b,Male,85 - 999,12,109.27,214525.76075746102,4259
California,2010,A06b,Female,0 - 4,0,0,1234770.34390375,18987
California,2010,A06b,Female,15 - 24,1,68.08,2691899.6871438,38077
California,2010,A06b,Female,25 - 34,2,125.22,2609688.17359586,37233
California,2010,A06b,Female,35 - 44,19,961.19,2574146.16573943,44659
California,2010,A06b,Female,45 - 54,95,3974.91,2641975.91322442,37030
California,2010,A06b,Female,5 - 14,0,0,2486596.85248475,39977
California,2010,A06b,Female,55 - 64,172,5779.25,2107996.9861708498,23961
California,2010,A06b,Female,65 - 74,76,1805.8999999999999,1231824.0064262499,18136
California,2010,A06b,Female,75 - 84,56,843.03,788773.6327572591,12315
California,2010,A06b,Female,85 - 999,12,118.64999999999999,395777.0037747704,4259
California,2010,A06b,Total,0 - 4,0,0,2525999.99210628,18987
California,2010,A06b,Total,15 - 24,2,136.16,5596840.4688891005,38077
California,2010,A06b,Total,25 - 34,5,302.62,5338068.65750252,37233
California,2010,A06b,Total,35 - 44,54,2729.92,5177189.83346018,44659
California,2010,A06b,Total,45 - 54,294,12302.880000000001,5251633.09380686,37030
California,2010,A06b,Total,5 - 14,0,0,5086518.2222786,39977
California,2010,A06b,Total,55 - 64,542,18248.72,4077244.17225021,23961
California,2010,A06b,Total,65 - 74,169,4078.4,2295640.7917253,18136
California,2010,A06b,Total,75 - 84,95,1428.3700000000001,1374145.00347759,12315
California,2010,A06b,Total,85 - 999,24,227.92,610302.7645322314,4259
California,2010,A07,Male,0 - 4,21,1924.94,1291229.64820253,18987
California,2010,A07,Male,15 - 24,15,1075.93,2904940.7817453,38077
California,2010,A07,Male,25 - 34,24,1495.69,2728380.48390666,37233
California,2010,A07,Male,35 - 44,49,2542.09,2603043.66772075,44659
California,2010,A07,Male,45 - 54,87,3714.14,2609657.18058244,37030
California,2010,A07,Male,5 - 14,3,243.07999999999998,2599921.36979385,39977
California,2010,A07,Male,55 - 64,192,6202.17,1969247.18607936,23961
California,2010,A07,Male,65 - 74,391,9041.21,1063816.78529905,18136
California,2010,A07,Male,75 - 84,798,11490.64,585371.370720331,12315
California,2010,A07,Male,85 - 999,1178,8873.55,214525.76075746102,4259
California,2010,A07,Female,0 - 4,22,2015,1234770.34390375,18987
California,2010,A07,Female,15 - 24,5,352.33,2691899.6871438,38077
California,2010,A07,Female,25 - 34,9,560.02,2609688.17359586,37233
California,2010,A07,Female,35 - 44,26,1370.12,2574146.16573943,44659
California,2010,A07,Female,45 - 54,64,2664.48,2641975.91322442,37030
California,2010,A07,Female,5 - 14,3,258.06,2486596.85248475,39977
California,2010,A07,Female,55 - 64,156,5043.87,2107996.9861708498,23961
California,2010,A07,Female,65 - 74,303,6838.21,1231824.0064262499,18136
California,2010,A07,Female,75 - 84,773,11016.57,788773.6327572591,12315
California,2010,A07,Female,85 - 999,1769,12501.51,395777.0037747704,4259
California,2010,A07,Total,0 - 4,43,3939.94,2525999.99210628,18987
California,2010,A07,Total,15 - 24,20,1428.26,5596840.4688891005,38077
California,2010,A07,Total,25 - 34,33,2055.71,5338068.65750252,37233
California,2010,A07,Total,35 - 44,75,3912.21,5177189.83346018,44659
California,2010,A07,Total,45 - 54,151,6378.62,5251633.09380686,37030
California,2010,A07,Total,5 - 14,6,501.14,5086518.2222786,39977
California,2010,A07,Total,55 - 64,348,11246.039999999999,4077244.17225021,23961
California,2010,A07,Total,65 - 74,694,15879.42,2295640.7917253,18136
California,2010,A07,Total,75 - 84,1571,22507.21,1374145.00347759,12315
California,2010,A07,Total,85 - 999,2947,21375.06,610302.7645322314,4259
California,2010,A08,Male,0 - 4,0,0,1291229.64820253,18987
California,2010,A08,Male,15 - 24,0,0,2904940.7817453,38077
California,2010,A08,Male,25 - 34,0,0,2728380.48390666,37233
California,2010,A08,Male,35 - 44,0,0,2603043.66772075,44659
California,2010,A08,Male,45 - 54,0,0,2609657.18058244,37030
California,2010,A08,Male,5 - 14,0,0,2599921.36979385,39977
California,2010,A08,Male,55 - 64,0,0,1969247.18607936,23961
California,2010,A08,Male,65 - 74,0,0,1063816.78529905,18136
California,2010,A08,Male,75 - 84,0,0,585371.370720331,12315
California,2010,A08,Male,85 - 999,0,0,214525.76075746102,4259
California,2010,A08,Female,0 - 4,0,0,1234770.34390375,18987
California,2010,A08,Female,15 - 24,12,856.75,2691899.6871438,38077
California,2010,A08,Female,25 - 34,35,2198.82,2609688.17359586,37233
California,2010,A08,Female,35 - 44,29,1545.51,2574146.16573943,44659
California,2010,A08,Female,45 - 54,4,167.52,2641975.91322442,37030
California,2010,A08,Female,5 - 14,0,0,2486596.85248475,39977
California,2010,A08,Female,55 - 64,0,0,2107996.9861708498,23961
California,2010,A08,Female,65 - 74,0,0,1231824.0064262499,18136
California,2010,A08,Female,75 - 84,0,0,788773.6327572591,12315
California,2010,A08,Female,85 - 999,0,0,395777.0037747704,4259
California,2010,A08,Total,0 - 4,0,0,2525999.99210628,18987
California,2010,A08,Total,15 - 24,12,856.75,5596840.4688891005,38077
California,2010,A08,Total,25 - 34,35,2198.82,5338068.65750252,37233
California,2010,A08,Total,35 - 44,29,1545.51,5177189.83346018,44659
California,2010,A08,Total,45 - 54,4,167.52,5251633.09380686,37030
California,2010,A08,Total,5 - 14,0,0,5086518.2222786,39977
California,2010,A08,Total,55 - 64,0,0,4077244.17225021,23961
California,2010,A08,Total,65 - 74,0,0,2295640.7917253,18136
California,2010,A08,Total,75 - 84,0,0,1374145.00347759,12315
California,2010,A08,Total,85 - 999,0,0,610302.7645322314,4259
California,2010,A09,Male,0 - 4,689,63344.78,1291229.64820253,18987
California,2010,A09,Male,15 - 24,1,73.05,2904940.7817453,38077
California,2010,A09,Male,25 - 34,2,128.2,2728380.48390666,37233
California,2010,A09,Male,35 - 44,1,51.21,2603043.66772075,44659
California,2010,A09,Male,45 - 54,0,0,2609657.18058244,37030
California,2010,A09,Male,5 - 14,1,85.02,2599921.36979385,39977
California,2010,A09,Male,55 - 64,0,0,1969247.18607936,23961
California,2010,A09,Male,65 - 74,0,0,1063816.78529905,18136
